VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
3096,0.222517497,-0.529137478,-0.00015951,-2.40E-08,-29.2071119,-29.17014606,9.039266221,9.050355972,3268,0.308384527,-0.471229571,-0.000127686,-2.92E-08,-21.30445618,-21.2659175,14.16763159,14.1791932,860,0.39115302,-0.104949323,-0.000121832,1.62E-06,-18.12167277,-20.26030003,17.57249935,16.93091117,4148,0.754331461,-0.588202459,-0.000138898,-1.80E-08,-17.44450699,-17.43263131,34.46830374,34.47186645,3662,2.377461037,-0.623983609,-0.0002001,-3.00E-07,-12.65973894,-12.5938209,91.3005198,91.32029521
3103.2,0.222465927,-0.530285743,-0.000159452,-2.62E-08,-29.19729958,-29.15704199,9.038084306,9.050161584,3275.6,0.308284029,-0.472199674,-0.000127604,-3.25E-08,-21.29079308,-21.24799668,14.16503068,14.1778696,862,0.391353215,-0.105192985,-0.00012183,1.64E-06,-18.10250616,-20.27060449,17.59002549,16.93959599,4189,0.752307544,-0.593878754,-0.000137994,-1.80E-08,-17.28098886,-17.26913655,34.41083725,34.41439294,3678.5,2.367485768,-0.627275349,-0.000198899,-2.58E-07,-12.52281523,-12.46610526,90.94258615,90.95959914
3110.4,0.222413,-0.531433587,-0.000159394,-2.84E-08,-29.18752343,-29.14390201,9.036783002,9.049869428,3283.2,0.308181656,-0.473169154,-0.000127522,-3.58E-08,-21.27722356,-21.22998567,14.16227667,14.17644804,864,0.391559986,-0.105436643,-0.000121828,1.67E-06,-18.08351055,-20.28073836,17.60788717,16.94871883,4230,0.75025341,-0.599517971,-0.000137089,-1.79E-08,-17.11774743,-17.10591871,34.35169734,34.35524596,3695,2.35744009,-0.630547263,-0.000197697,-2.23E-07,-12.38717388,-12.33815787,90.58145145,90.59615626
3117.6,0.222358604,-0.53258101,-0.000159335,-3.06E-08,-29.17777121,-29.13073838,9.03535692,9.049466768,3290.8,0.308077214,-0.474138009,-0.00012744,-3.93E-08,-21.26373671,-21.21189539,14.15935989,14.17491229,866,0.391773422,-0.105680298,-0.000121827,1.69E-06,-18.06470277,-20.29068482,17.62608456,16.95828994,4271,0.748169118,-0.605120067,-0.000136183,-1.79E-08,-16.95479157,-16.9429848,34.29088451,34.29442654,3711.5,2.347333502,-0.633799328,-0.000196493,-1.96E-07,-12.25298792,-12.20981149,90.21744369,90.23039661
3124.8,0.222302622,-0.533728009,-0.000159276,-3.28E-08,-29.16802858,-29.11756543,9.03380117,9.048940112,3298.4,0.3079705,-0.475106238,-0.000127357,-4.29E-08,-21.25031896,-21.1937394,14.15627097,14.17324484,868,0.39199361,-0.105923951,-0.000121826,1.71E-06,-18.04610006,-20.30042661,17.6446176,16.96831964,4312,0.746054723,-0.610684998,-0.000135276,-1.79E-08,-16.79212934,-16.78034264,34.22839927,34.23193528,3728,2.337173242,-0.637031524,-0.000195288,-1.78E-07,-12.12023002,-12.08109922,89.85086068,89.86259992
3132,0.22224494,-0.534874584,-0.000159217,-3.50E-08,-29.15827895,-29.10439976,9.032111489,9.048275247,3306,0.307861307,-0.476073839,-0.000127275,-4.66E-08,-21.23695386,-21.17553416,14.153001,14.17142691,870,0.392220635,-0.106167602,-0.000121826,1.73E-06,-18.02772018,-20.30994599,17.66348603,16.97881829,4353,0.743910279,-0.616212721,-0.000134368,-1.78E-08,-16.62976841,-16.6180004,34.16424203,34.16777243,3744.5,2.326964352,-0.640243843,-0.000194083,-1.67E-07,-11.98876692,-11.95216011,89.48194402,89.49292607
3139.2,0.222185442,-0.536020733,-0.000159158,-3.72E-08,-29.14850333,-29.09126035,9.030284377,9.04745727,3313.6,0.307749425,-0.477040811,-0.000127192,-5.03E-08,-21.22362181,-21.15729929,14.14954176,14.16943852,872,0.392454584,-0.106411255,-0.000121826,1.75E-06,-18.00958132,-20.31922475,17.68268937,16.98979634,4394,0.741735831,-0.621703196,-0.000133459,-1.78E-08,-16.46771645,-16.45596633,34.098413,34.10193803,3761,2.316709996,-0.643436277,-0.000192878,-1.60E-07,-11.85842534,-11.8231732,89.11087224,89.12144788
3146.4,0.222124016,-0.537166455,-0.000159098,-3.93E-08,-29.13868013,-29.07816881,9.028317252,9.04647065,3321.2,0.307634637,-0.47800715,-0.000127108,-5.40E-08,-21.21029975,-21.13905782,14.14588585,14.16725843,874,0.392695538,-0.106654908,-0.000121827,1.77E-06,-17.99170218,-20.32824421,17.7022269,17.00126429,4435,0.739531426,-0.627156385,-0.00013255,-1.78E-08,-16.30598115,-16.29424858,34.03091227,34.03443204,3777.5,2.306411887,-0.646608824,-0.000191673,-1.58E-07,-11.72903354,-11.69431601,88.73776541,88.74818067
3153.6,0.222060551,-0.538311747,-0.000159038,-4.14E-08,-29.12878503,-29.06514943,9.026208609,9.045299289,3328.8,0.307516728,-0.478972855,-0.000127025,-5.77E-08,-21.19696094,-21.12083652,14.14202693,14.16486426,876,0.39294358,-0.106898565,-0.000121829,1.79E-06,-17.97410193,-20.33698519,17.72209767,17.01323269,4476,0.737297108,-0.63257225,-0.000131639,-1.78E-08,-16.14457032,-16.13285522,33.96173987,33.9652544,3794,2.296070719,-0.64976148,-0.000190467,-1.58E-07,-11.60044391,-11.56574193,88.36269557,88.37310617
3160.8,0.221994943,-0.539456608,-0.000158978,-4.33E-08,-29.11879082,-29.05222946,9.023958206,9.043926613,3336.4,0.307395486,-0.479937924,-0.000126941,-6.14E-08,-21.18357464,-21.10266613,14.13796,14.16223256,878,0.393198789,-0.107142226,-0.000121832,1.81E-06,-17.95680023,-20.34542803,17.74230047,17.02571213,4517,0.735032923,-0.637950756,-0.000130727,-1.77E-08,-15.98349182,-15.97179426,33.89089578,33.89440504,3810.5,2.285686535,-0.652894244,-0.000189262,-1.59E-07,-11.47254212,-11.43757106,87.98569875,87.99619007
3168,0.221927093,-0.540601036,-0.000158918,-4.50E-08,-29.10866721,-29.03943915,9.021567249,9.042335669,3344,0.3072707,-0.480902354,-0.000126856,-6.49E-08,-21.17010585,-21.08458164,14.1336816,14.15933886,880,0.393461243,-0.107385892,-0.000121835,1.83E-06,-17.93981724,-20.35355257,17.76283386,17.03871326,4558,0.732738915,-0.643291868,-0.000129815,-1.77E-08,-15.82275359,-15.81107364,33.81837997,33.82188395,3827,2.275259019,-0.656007115,-0.000188056,-1.61E-07,-11.34524776,-11.3098896,87.60678643,87.61739388
3175.2,0.22185691,-0.541745029,-0.000158858,-4.65E-08,-29.09838078,-29.02681194,9.019038597,9.040509247,3351.6,0.30714217,-0.481866142,-0.000126772,-6.82E-08,-21.15651507,-21.06662257,14.12919012,14.15615787,882,0.393731019,-0.107629564,-0.000121838,1.85E-06,-17.92317362,-20.36133815,17.78369611,17.05224675,4599,0.730415128,-0.648595556,-0.000128902,-1.77E-08,-15.66236356,-15.6507013,33.74419242,33.7476911,3843.5,2.264787703,-0.659100091,-0.00018685,-1.63E-07,-11.21851013,-11.18275402,87.22595508,87.23668191
3182.4,0.221784318,-0.542888585,-0.000158797,-4.78E-08,-29.08789474,-29.01438462,9.016376989,9.038430025,3359.2,0.307009703,-0.482829285,-0.000126687,-7.12E-08,-21.14275798,-21.04883323,14.12448611,14.15266354,884,0.394008191,-0.107873245,-0.000121843,1.87E-06,-17.90689054,-20.3687636,17.80488523,17.06632332,4640,0.728061609,-0.653861788,-0.000127988,-1.77E-08,-15.50232969,-15.49068516,33.66833312,33.67182649,3860,2.2542721,-0.662173169,-0.000185644,-1.64E-07,-11.09230198,-11.05619735,86.84319339,86.85402478
3189.6,0.221709249,-0.544031703,-0.000158736,-4.87E-08,-29.07716892,-29.00219736,9.013589263,9.036080733,3366.8,0.306873123,-0.483791781,-0.000126601,-7.40E-08,-21.12878525,-21.03126296,14.11957263,14.14882932,886,0.39429283,-0.108116935,-0.000121848,1.88E-06,-17.89098969,-20.37580724,17.82639895,17.08095369,4681,0.725678401,-0.659090534,-0.000127073,-1.76E-08,-15.34265992,-15.33103314,33.59080208,33.59429011,3876.5,2.24371178,-0.665226348,-0.000184438,-1.66E-07,-10.96661295,-10.93023571,86.45848732,86.46940049
