R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,,,,,,,,
106.9260000000,2.8664900000,497.0000000000,106.9770000000,0.0883335000,0.3680000000,16.1533000000,0.0035129900,0.0034827600,0.0034569000,0.0034269400,1000.0100000000,991.3930000000,991.3850000000,982.8060000000,,,,,,,,,,
108.9410000000,2.9758900000,497.0000000000,108.9950000000,0.0900001000,0.3750000000,16.1464000000,0.0035132300,0.0034823600,0.0034547100,0.0034247400,999.9210000000,991.1610000000,990.9180000000,982.2960000000,,,,,,,,,,
110.9560000000,3.0873700000,497.0000000000,111.0140000000,0.0916669000,0.3810000000,16.1394000000,0.0035129700,0.0034824600,0.0034524300,0.0034224500,999.7130000000,991.0310000000,990.4000000000,981.7990000000,,,,,,,,,,
112.9710000000,3.2008700000,497.0000000000,113.0320000000,0.0933334000,0.3880000000,16.1322000000,0.0035125700,0.0034826900,0.0034501500,0.0034201600,999.4770000000,990.9310000000,989.8730000000,981.3120000000,,,,,,,,,,
114.9870000000,3.3165000000,497.0000000000,115.0500000000,0.0950002000,0.3950000000,16.1249000000,0.0035128300,0.0034822700,0.0034477800,0.0034177900,999.3760000000,990.6820000000,989.3700000000,980.7630000000,,,,,,,,,,
117.0010000000,3.4341400000,497.0000000000,117.0690000000,0.0966667000,0.4010000000,16.1175000000,0.0035129400,0.0034819800,0.0034454200,0.0034154200,999.2460000000,990.4630000000,988.8580000000,980.2220000000,,,,,,,,,,
119.0170000000,3.5538600000,496.0000000000,119.0870000000,0.0983336000,0.4080000000,16.1099000000,0.0035123600,0.0034823900,0.0034429700,0.0034129600,998.9570000000,990.3910000000,988.2800000000,979.7100000000,,,,,,,,,,
121.0310000000,3.6756300000,496.0000000000,121.1060000000,0.1000000000,0.4150000000,16.1022000000,0.0035119200,0.0034826700,0.0034405100,0.0034105100,998.6970000000,990.2900000000,987.7110000000,979.1890000000,,,,,,,,,,
123.0460000000,3.7995000000,496.0000000000,123.1240000000,0.1016670000,0.4210000000,16.0944000000,0.0035119000,0.0034825000,0.0034379700,0.0034079800,998.5260000000,990.0870000000,987.1510000000,978.6220000000,,,,,,,,,,
125.0600000000,3.9254200000,496.0000000000,125.1420000000,0.1033330000,0.4280000000,16.0865000000,0.0035120200,0.0034822000,0.0034354200,0.0034054500,998.3840000000,989.8550000000,986.6000000000,978.0460000000,,,,,,,,,,
127.0750000000,4.0534400000,496.0000000000,127.1610000000,0.1050000000,0.4340000000,16.0784000000,0.0035120500,0.0034819900,0.0034328000,0.0034028300,998.2170000000,989.6360000000,986.0260000000,977.4560000000,,,,,,,,,,
129.0890000000,4.1834700000,496.0000000000,129.1790000000,0.1066670000,0.4410000000,16.0702000000,0.0035119400,0.0034819100,0.0034301800,0.0034002100,998.0210000000,989.4450000000,985.4430000000,976.8750000000,,,,,,,,,,
131.1030000000,4.3156400000,496.0000000000,131.1980000000,0.1083340000,0.4470000000,16.0618000000,0.0035120000,0.0034816600,0.0034274800,0.0033975000,997.8560000000,989.2110000000,984.8520000000,976.2640000000,,,,,,,,,,
133.1170000000,4.4498300000,496.0000000000,133.2160000000,0.1100000000,0.4540000000,16.0534000000,0.0035119300,0.0034815400,0.0034247800,0.0033947900,997.6620000000,989.0070000000,984.2540000000,975.6610000000,,,,,,,,,,
135.1310000000,4.5861200000,495.0000000000,135.2350000000,0.1116670000,0.4600000000,16.0448000000,0.0035115800,0.0034817000,0.0034219800,0.0033920100,997.4010000000,988.8570000000,983.6170000000,975.0580000000,,,,,,,,,,
137.1440000000,4.7244600000,495.0000000000,137.2530000000,0.1133330000,0.4670000000,16.0361000000,0.0035112200,0.0034818600,0.0034191900,0.0033892200,997.1380000000,988.7090000000,982.9800000000,974.4560000000,,,,,,,,,,
