R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
269.8430000000,65.3681000000,280.4690000000,372.9150000000,0.4290000000,-0.2990000000,-0.1150000000,0.0020320900,0.0009826290,-0.0011146400,-0.0011012300,373.1200000000,143.3540000000,-110.9910000000,-177.2400000000
270.4570000000,65.7493000000,281.1920000000,372.1920000000,0.4300000000,-0.2990000000,-0.1180000000,0.0020035200,0.0010023000,-0.0011125200,-0.0011014300,366.9810000000,147.6650000000,-112.4090000000,-175.9870000000
271.0690000000,66.1327000000,281.9140000000,371.4700000000,0.4310000000,-0.3000000000,-0.1200000000,0.0019749300,0.0010220000,-0.0011104000,-0.0011016300,360.8380000000,151.9800000000,-113.8280000000,-174.7320000000
271.6790000000,66.5184000000,282.6360000000,370.7480000000,0.4330000000,-0.3000000000,-0.1220000000,0.0019461400,0.0010409000,-0.0011065600,-0.0010998600,354.7640000000,156.2510000000,-114.8830000000,-173.0960000000
272.2890000000,66.9062000000,283.3580000000,370.0260000000,0.4340000000,-0.3000000000,-0.1240000000,0.0019174400,0.0010597200,-0.0011027300,-0.0010980800,348.7080000000,160.5050000000,-115.9330000000,-171.4650000000
272.8960000000,67.2962000000,284.0810000000,369.3030000000,0.4350000000,-0.2990000000,-0.1250000000,0.0018887000,0.0010777100,-0.0010973500,-0.0010945200,342.7450000000,164.6940000000,-116.6470000000,-169.4970000000
273.5030000000,67.6885000000,284.8030000000,368.5810000000,0.4360000000,-0.2980000000,-0.1260000000,0.0018599400,0.0010957100,-0.0010919800,-0.0010909700,336.7800000000,168.8840000000,-117.3610000000,-167.5280000000
274.1080000000,68.0829000000,285.5250000000,367.8590000000,0.4370000000,-0.2980000000,-0.1270000000,0.0018316500,0.0011125000,-0.0010852300,-0.0010858100,331.0070000000,172.9150000000,-117.7450000000,-165.2870000000
274.7110000000,68.4795000000,286.2470000000,367.1370000000,0.4380000000,-0.2970000000,-0.1270000000,0.0018033300,0.0011293300,-0.0010784900,-0.0010806500,325.2260000000,176.9520000000,-118.1310000000,-163.0440000000
275.3140000000,68.8783000000,286.9700000000,366.4140000000,0.4390000000,-0.2950000000,-0.1270000000,0.0017755900,0.0011449300,-0.0010705500,-0.0010740700,319.6530000000,180.8150000000,-118.2150000000,-160.5690000000
275.9140000000,69.2792000000,287.6920000000,365.6920000000,0.4400000000,-0.2940000000,-0.1270000000,0.0017478200,0.0011605600,-0.0010626100,-0.0010674900,314.0730000000,184.6850000000,-118.3000000000,-158.0920000000
276.5140000000,69.6823000000,288.4140000000,364.9700000000,0.4410000000,-0.2920000000,-0.1270000000,0.0017209800,0.0011747400,-0.0010536300,-0.0010596600,308.7670000000,188.3160000000,-118.0970000000,-155.4380000000
277.1110000000,70.0876000000,289.1360000000,364.2480000000,0.4430000000,-0.2900000000,-0.1260000000,0.0016942000,0.0011888600,-0.0010446600,-0.0010518400,303.4720000000,191.9350000000,-117.8900000000,-152.7870000000
