R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
301.658,174.397,765.296,350.229,2.87E-01,-2.15E-01,-3.42748,-1.07E-03,-1.06E-03,-7.14E-04,-7.11E-04,-282.622,-279.886,-227.583,-226.092
304.77,177.024,762.669,354.302,2.90E-01,-2.15E-01,-3.42048,-1.08E-03,-1.07E-03,-7.06E-04,-7.03E-04,-284.675,-281.94,-226.622,-225.117
307.87,179.665,760.028,358.374,2.93E-01,-2.14E-01,-3.41331,-1.10E-03,-1.08E-03,-6.98E-04,-6.95E-04,-286.711,-283.992,-225.618,-224.104
310.96,182.318,757.375,362.447,2.97E-01,-2.14E-01,-3.40596,-1.11E-03,-1.10E-03,-6.90E-04,-6.86E-04,-288.737,-286.033,-224.574,-223.052
314.039,184.983,754.71,366.519,3.00E-01,-2.13E-01,-3.39845,-1.12E-03,-1.11E-03,-6.81E-04,-6.78E-04,-290.763,-288.055,-223.493,-221.957
317.107,187.661,752.032,370.591,3.03E-01,-2.13E-01,-3.39076,-1.13E-03,-1.12E-03,-6.73E-04,-6.69E-04,-292.793,-290.053,-222.377,-220.819
320.164,190.352,749.341,374.664,3.07E-01,-2.12E-01,-3.38291,-1.14E-03,-1.13E-03,-6.64E-04,-6.60E-04,-294.8,-292.057,-221.216,-219.645
323.21,193.054,746.639,378.736,3.10E-01,-2.11E-01,-3.37488,-1.15E-03,-1.14E-03,-6.55E-04,-6.51E-04,-296.766,-294.085,-220.006,-218.443
326.245,195.77,743.923,382.809,3.13E-01,-2.10E-01,-3.36669,-1.17E-03,-1.15E-03,-6.46E-04,-6.42E-04,-298.733,-296.094,-218.762,-217.2
329.269,198.497,741.196,386.881,3.17E-01,-2.09E-01,-3.35834,-1.18E-03,-1.17E-03,-6.36E-04,-6.32E-04,-300.725,-298.062,-217.49,-215.911
332.282,201.237,738.456,390.954,3.20E-01,-2.08E-01,-3.34982,-1.19E-03,-1.18E-03,-6.27E-04,-6.23E-04,-302.693,-300.037,-216.177,-214.59
335.284,203.989,735.704,395.026,3.23E-01,-2.06E-01,-3.34115,-1.20E-03,-1.19E-03,-6.17E-04,-6.13E-04,-304.643,-302.016,-214.824,-213.237
338.274,206.754,732.939,399.098,3.27E-01,-2.05E-01,-3.33232,-1.21E-03,-1.20E-03,-6.07E-04,-6.03E-04,-306.599,-303.973,-213.44,-211.845
341.254,209.53,730.163,403.171,3.30E-01,-2.03E-01,-3.32333,-1.22E-03,-1.21E-03,-5.97E-04,-5.93E-04,-308.537,-305.934,-212.018,-210.421
344.221,212.319,727.374,407.243,3.33E-01,-2.01E-01,-3.31418,-1.24E-03,-1.23E-03,-5.87E-04,-5.83E-04,-310.473,-307.883,-210.562,-208.961
347.178,215.12,724.573,411.316,3.37E-01,-2.00E-01,-3.30489,-1.25E-03,-1.24E-03,-5.77E-04,-5.73E-04,-312.412,-309.815,-209.076,-207.464
350.123,217.932,721.761,415.388,3.40E-01,-1.98E-01,-3.29544,-1.26E-03,-1.25E-03,-5.66E-04,-5.62E-04,-314.333,-311.754,-207.552,-205.938
353.057,220.757,718.936,419.46,3.43E-01,-1.95E-01,-3.28584,-1.27E-03,-1.26E-03,-5.56E-04,-5.51E-04,-316.252,-313.681,-205.995,-204.377
355.979,223.594,716.099,423.533,3.47E-01,-1.93E-01,-3.27609,-1.28E-03,-1.27E-03,-5.45E-04,-5.41E-04,-318.178,-315.591,-204.409,-202.779
358.889,226.442,713.251,427.605,3.50E-01,-1.91E-01,-3.26619,-1.30E-03,-1.29E-03,-5.34E-04,-5.29E-04,-320.087,-317.504,-202.787,-201.151
361.788,229.302,710.391,431.678,3.53E-01,-1.88E-01,-3.25614,-1.31E-03,-1.30E-03,-5.23E-04,-5.18E-04,-321.97,-319.434,-201.124,-199.497
364.675,232.175,707.518,435.75,3.57E-01,-1.86E-01,-3.24595,-1.32E-03,-1.31E-03,-5.11E-04,-5.07E-04,-323.846,-321.36,-199.429,-197.811
367.551,235.058,704.635,439.823,3.60E-01,-1.83E-01,-3.23561,-1.33E-03,-1.32E-03,-5.00E-04,-4.96E-04,-325.735,-323.262,-197.709,-196.09
370.414,237.954,701.739,443.895,3.63E-01,-1.80E-01,-3.22514,-1.34E-03,-1.33E-03,-4.88E-04,-4.84E-04,-327.628,-325.153,-195.961,-194.336
373.266,240.861,698.832,447.968,3.67E-01,-1.77E-01,-3.21453,-1.36E-03,-1.35E-03,-4.77E-04,-4.72E-04,-329.524,-327.029,-194.185,-192.549
376.106,243.78,695.913,452.04,3.70E-01,-1.74E-01,-3.20378,-1.37E-03,-1.36E-03,-4.65E-04,-4.60E-04,-331.416,-328.902,-192.378,-190.731
378.934,246.71,692.983,456.112,3.73E-01,-1.71E-01,-3.19289,-1.38E-03,-1.37E-03,-4.53E-04,-4.48E-04,-333.284,-330.79,-190.534,-188.889
381.75,249.652,690.041,460.185,3.77E-01,-1.67E-01,-3.18186,-1.39E-03,-1.38E-03,-4.41E-04,-4.36E-04,-335.133,-332.689,-188.654,-187.02
384.555,252.605,687.088,464.257,3.80E-01,-1.64E-01,-3.1707,-1.40E-03,-1.40E-03,-4.28E-04,-4.24E-04,-336.986,-334.577,-186.747,-185.12
387.347,255.57,684.123,468.33,3.83E-01,-1.60E-01,-3.15941,-1.42E-03,-1.41E-03,-4.16E-04,-4.11E-04,-338.856,-336.441,-184.818,-183.185
390.127,258.546,681.147,472.402,3.87E-01,-1.56E-01,-3.14799,-1.43E-03,-1.42E-03,-4.03E-04,-3.99E-04,-340.717,-338.307,-182.858,-181.223
392.894,261.533,678.16,476.475,3.90E-01,-1.53E-01,-3.13643,-1.44E-03,-1.43E-03,-3.90E-04,-3.86E-04,-342.574,-340.171,-180.869,-179.233
395.65,264.531,675.162,480.547,3.93E-01,-1.49E-01,-3.12475,-1.45E-03,-1.44E-03,-3.78E-04,-3.73E-04,-344.443,-342.017,-178.855,-177.21
398.394,267.541,672.152,484.619,3.97E-01,-1.44E-01,-3.11295,-1.47E-03,-1.46E-03,-3.65E-04,-3.60E-04,-346.285,-343.885,-176.805,-175.165
401.125,270.562,669.131,488.692,4.00E-01,-1.40E-01,-3.10101,-1.48E-03,-1.47E-03,-3.51E-04,-3.47E-04,-348.108,-345.766,-174.722,-173.097
403.844,273.594,666.099,492.764,4.03E-01,-1.36E-01,-3.08895,-1.49E-03,-1.48E-03,-3.38E-04,-3.34E-04,-349.951,-347.622,-172.618,-170.994
406.55,276.637,663.056,496.837,4.07E-01,-1.31E-01,-3.07677,-1.50E-03,-1.49E-03,-3.25E-04,-3.20E-04,-351.802,-349.467,-170.489,-168.862
409.244,279.691,660.002,500.909,4.10E-01,-1.26E-01,-3.06448,-1.52E-03,-1.51E-03,-3.11E-04,-3.07E-04,-353.654,-351.306,-168.335,-166.702
411.926,282.756,656.937,504.982,4.13E-01,-1.22E-01,-3.05206,-1.53E-03,-1.52E-03,-2.98E-04,-2.93E-04,-355.496,-353.152,-166.15,-164.517
414.595,285.832,653.861,509.054,4.17E-01,-1.17E-01,-3.03952,-1.54E-03,-1.53E-03,-2.84E-04,-2.79E-04,-357.317,-355.015,-163.932,-162.31
417.251,288.918,650.775,513.126,4.20E-01,-1.12E-01,-3.02686,-1.55E-03,-1.54E-03,-2.70E-04,-2.65E-04,-359.135,-356.879,-161.687,-160.077
419.895,292.016,647.677,517.199,4.23E-01,-1.06E-01,-3.01409,-1.57E-03,-1.56E-03,-2.56E-04,-2.51E-04,-360.959,-358.734,-159.418,-157.817
422.526,295.124,644.569,521.271,4.27E-01,-1.01E-01,-3.00121,-1.58E-03,-1.57E-03,-2.41E-04,-2.37E-04,-362.792,-360.577,-157.127,-155.528
425.145,298.243,641.45,525.344,4.30E-01,-9.56E-02,-2.98822,-1.59E-03,-1.58E-03,-2.27E-04,-2.22E-04,-364.632,-362.412,-154.814,-153.213
427.751,301.373,638.32,529.416,4.33E-01,-9.00E-02,-2.97512,-1.60E-03,-1.59E-03,-2.13E-04,-2.08E-04,-366.471,-364.246,-152.475,-150.873
430.344,304.513,635.18,533.489,4.37E-01,-8.43E-02,-2.96191,-1.62E-03,-1.61E-03,-1.98E-04,-1.93E-04,-368.301,-366.088,-150.109,-148.51
432.924,307.663,632.03,537.561,4.40E-01,-7.84E-02,-2.94859,-1.63E-03,-1.62E-03,-1.83E-04,-1.79E-04,-370.132,-367.928,-147.718,-146.121
435.492,310.824,628.869,541.634,4.43E-01,-7.24E-02,-2.93516,-1.64E-03,-1.63E-03,-1.69E-04,-1.64E-04,-371.956,-369.775,-145.299,-143.71
438.046,313.996,625.697,545.706,4.47E-01,-6.63E-02,-2.92163,-1.65E-03,-1.65E-03,-1.54E-04,-1.49E-04,-373.779,-371.623,-142.856,-141.275
440.588,317.178,622.515,549.778,4.50E-01,-6.00E-02,-2.908,-1.67E-03,-1.66E-03,-1.39E-04,-1.34E-04,-375.604,-373.468,-140.389,-138.814
443.117,320.37,619.323,553.851,4.53E-01,-5.36E-02,-2.89427,-1.68E-03,-1.67E-03,-1.23E-04,-1.19E-04,-377.435,-375.308,-137.9,-136.329
445.632,323.573,616.12,557.923,4.57E-01,-4.71E-02,-2.88043,-1.69E-03,-1.68E-03,-1.08E-04,-1.03E-04,-379.289,-377.125,-135.394,-133.812
